"","B_p.val","A_p.val","C_p.val","B_r.sq","A_r.sq","C_r.sq","B_avg","A_avg","C_avg","B_acro","A_acro","C_acro","B_amplitude","A_amplitude","C_amplitude","B_q.val","A_q.val","C_q.val","Group:Time_p.val","Group:Time_q.val"
"Variable_25",0.809269693668005,0.0172807297206246,0.534975510512156,0.0144887068612552,0.251638258467297,0.0436975273536771,2.35170327017581,2.24020535196043,2.19534834831639,2.97165238342195,21.764145699525,11.8225754686243,0.10207094517451,0.303993622822452,0.082166360038284,0.998231663347225,0.0841496403786936,0.849972470815068,0.269352980960464,0.527606554828318
"Variable_26",0.19899329549817,1.09822389352899e-05,3.42039652385487e-05,0.105368819255161,0.557652441184317,0.520260518768329,0.185124843371031,0.122238252262134,-0.00881858138507419,4.84498089890589,1.90273076965908,3.72125071036928,0.0828764252695691,0.22231681061635,0.242963592821017,0.825453670214633,0.000410003586917489,0.00191542205335872,0.0365479835543029,0.454819350897992
"Variable_27",0.998231663347225,0.599084394856119,0.38343070105512,0.000122054758000584,0.0359350666755994,0.0661796179623823,1.15184928748149,4.09097325395622,5.48012115749744,14.5847280874309,15.5100223578129,22.0514327065214,0.0854013717831038,0.831802968066698,0.56923990072782,0.998231663347225,0.662434725202112,0.76686140211024,1,1
"Variable_28",0.992409778417515,0.679716746656608,0.0838284859501102,0.000525322239614114,0.0272003035026956,0.162279001705552,0.604954143309061,0.952499115587163,1.23430552858333,4.02446553256852,15.3205051935785,1.08541105637127,0.0249160460115525,0.148825425212347,0.192325355729375,0.998231663347225,0.718191279486227,0.54797818439404,0.93154273452421,1
"Variable_29",0.533674300043889,0.0604794027947591,0.536309305780929,0.04238383573453,0.181588046640493,0.0435274210885693,-1.04327602551956,-1.15380309615747,-1.1656551031117,8.71323001109764,22.0623638649627,6.98738884552134,0.111916839901709,0.161157641289981,0.0543762988278889,0.998231663347225,0.157527746814256,0.849972470815068,0.243588766644568,0.52465272815753
"Variable_30",0.224124637709802,0.674197334942578,0.944571534122453,0.0980007439437953,0.0277666771292946,0.00406484871414103,8.05237380302525,8.06731528473481,8.08046121659048,10.3933220521815,23.7082622050951,19.1297524349461,0.0653324354883011,0.0255817097580643,0.0049626361840268,0.836731980783262,0.718191279486227,0.993710502923207,0.192666059696743,0.52465272815753
"Variable_31",0.740451670404833,0.574815709392748,0.0065579635317088,0.0205105252049358,0.0387785061800152,0.301679279816759,1.20351699114283,1.1008068916344,1.09364271044389,5.75222241329087,22.5466850352868,9.70314124464861,0.0433510969071361,0.0473848208673186,0.125994993252349,0.998231663347225,0.662434725202112,0.0918114894439232,0.144297905064617,0.52465272815753
"Variable_32",0.779690092016703,0.162892779008353,0.0407399982879527,0.0170162331327361,0.121569768524211,0.204361506927852,3.37512020249162,3.26162704538413,3.14561177552627,6.50052156409264,20.7169703555981,12.1528499836716,0.109338707293316,0.181474374858024,0.164547093948652,0.998231663347225,0.309220190659924,0.414807255295519,0.420268606610562,0.645581080534149
"Variable_33",0.688605287744354,0.1716217435189,0.945948842650128,0.0254019421288168,0.118288320737029,0.00396119005862969,9.04697043141163,8.99994144846675,9.12431893120191,9.11444946077835,0.125892279756336,13.8235415926818,0.089506639364923,0.169269773350576,0.0220274348275005,0.998231663347225,0.320360587901946,0.993710502923207,0.282646368658028,0.527606554828318
"Variable_34",2.36356776122951e-05,1.06500541234383e-05,0.993710502923207,0.520337542578482,0.558621835882843,0.000450566984877881,-0.710827301905698,-0.768134044311259,-0.18387105376666,14.3741371751679,19.9763378302507,6.019823043496,1.16402786583945,0.623861844931144,0.00832646872110798,0.000882398630859016,0.000410003586917489,0.993710502923207,8.11759611555833e-08,9.09170764942533e-06
