"","unique_group","p.val","r.sq","avg","acro","amplitude","q.val"
"Variable_26.2","A",1.09822389352899e-05,0.557652441184317,0.122238252262134,1.90273076965908,0.22231681061635,0.000615005380376233
"Variable_26.3","C",3.42039652385487e-05,0.520260518768329,-0.00881858138507419,3.72125071036928,0.242963592821017,0.00143656654001904
"Variable_27.1","B",0.998231663347225,0.000122054758000584,1.15184928748149,14.5847280874309,0.0854013717831038,0.998231663347225
"Variable_27.2","A",0.599084394856119,0.0359350666755994,4.09097325395622,15.5100223578129,0.831802968066698,0.835237994488199
"Variable_27.3","C",0.38343070105512,0.0661796179623823,5.48012115749744,22.0514327065214,0.56923990072782,0.707872063486376
"Variable_28.1","B",0.992409778417515,0.000525322239614114,0.604954143309061,4.02446553256852,0.0249160460115525,0.997700160542208
"Variable_28.2","A",0.679716746656608,0.0272003035026956,0.952499115587163,15.3205051935785,0.148825425212347,0.892128229986798
"Variable_28.3","C",0.0838284859501102,0.162279001705552,1.23430552858333,1.08541105637127,0.192325355729375,0.348840264388263
"Variable_29.1","B",0.533674300043889,0.04238383573453,-1.04327602551956,8.71323001109764,0.111916839901709,0.814113186888063
"Variable_29.2","A",0.0604794027947591,0.181588046640493,-1.15380309615747,22.0623638649627,0.161157641289981,0.298839402044692
"Variable_29.3","C",0.536309305780929,0.0435274210885693,-1.1656551031117,6.98738884552134,0.0543762988278889,0.814113186888063
"Variable_30.1","B",0.224124637709802,0.0980007439437953,8.05237380302525,10.3933220521815,0.0653324354883011,0.570499077806769
"Variable_30.2","A",0.674197334942578,0.0277666771292946,8.06731528473481,23.7082622050951,0.0255817097580643,0.888354135453749
"Variable_30.3","C",0.944571534122453,0.00406484871414103,8.08046121659048,19.1297524349461,0.0049626361840268,0.995233480959537
"Variable_31.1","B",0.740451670404833,0.0205105252049358,1.20351699114283,5.75222241329087,0.0433510969071361,0.94441610764641
"Variable_31.2","A",0.574815709392748,0.0387785061800152,1.1008068916344,22.5466850352868,0.0473848208673186,0.826218978426
"Variable_31.3","C",0.0065579635317088,0.301679279816759,1.09364271044389,9.70314124464861,0.125994993252349,0.0881390298661663
"Variable_32.1","B",0.779690092016703,0.0170162331327361,3.37512020249162,6.50052156409264,0.109338707293316,0.956116317217563
"Variable_32.2","A",0.162892779008353,0.121569768524211,3.26162704538413,20.7169703555981,0.181474374858024,0.488678337025059
"Variable_32.3","C",0.0407399982879527,0.204361506927852,3.14561177552627,12.1528499836716,0.164547093948652,0.2401515688553
"Variable_33.1","B",0.688605287744354,0.0254019421288168,9.04697043141163,9.11444946077835,0.089506639364923,0.900277730280556
"Variable_33.2","A",0.1716217435189,0.118288320737029,8.99994144846675,0.125892279756336,0.169269773350576,0.5058325072136
"Variable_33.3","C",0.945948842650128,0.00396119005862969,9.12431893120191,13.8235415926818,0.0220274348275005,0.995233480959537
"Variable_34.1","B",2.36356776122951e-05,0.520337542578482,-0.710827301905698,14.3741371751679,1.16402786583945,0.00113451252539016
"Variable_34.2","A",1.06500541234383e-05,0.558621835882843,-0.768134044311259,19.9763378302507,0.623861844931144,0.000615005380376233
"Variable_34.3","C",0.993710502923207,0.000450566984877881,-0.18387105376666,6.019823043496,0.00832646872110798,0.997700160542208
"Variable_35.1","B",0.0703562910486729,0.167271073864795,0.275761968718046,8.90974052312234,0.821110955289172,0.332953715385269
"Variable_35.2","A",0.189453060494548,0.112040877705187,-0.498166272828838,18.3701920980816,0.448146198912974,0.534926288455195
"Variable_35.3","C",0.947841410437654,0.00381898045250133,-1.17821481449379,22.9629929956347,0.104956718671404,0.995233480959537
"Variable_36.1","B",0.867552210654399,0.00975074219675292,0.952269866083723,13.6218670252304,0.0432714643715444,0.964973090602404
"Variable_36.2","A",0.143578743661295,0.129453139794221,0.753913346985292,20.082664479753,0.0890859560903116,0.446689424724028
"Variable_36.3","C",0.314469504607311,0.0793114278277375,0.784437756866423,12.5496548164626,0.0428452105230845,0.644278985049125
"Variable_37.1","B",0.0787144212032785,0.160799344848431,0.041208112555807,11.2881927757297,0.761688383233866,0.346376638698888
"Variable_37.2","A",0.0551904126216135,0.186920301948571,-0.263823564960779,17.4291263330492,0.995561775721837,0.285303166557672
