"","Feature","Comparison","Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"1098","Variable_61","A vs C","Residuals",56,30.7412345904338,0.548950617686318,NA,NA
"1099","Variable_62","B vs A","unique_group",1,0.725777718284408,0.725777718284408,3.57432925803168,0.0637662345105391
"1100","Variable_62","B vs A","Timepoint_cos",1,0.623466808379426,0.623466808379426,3.0704657892638,0.0851045455790971
"1101","Variable_62","B vs A","Timepoint_sin",1,0.22730462297681,0.22730462297681,1.11943580510072,0.294503337675746
"1102","Variable_62","B vs A","unique_group:Timepoint_cos",1,0.412458879548248,0.412458879548248,2.03128837351074,0.15954301922948
"1103","Variable_62","B vs A","unique_group:Timepoint_sin",1,0.36911751881347,0.36911751881347,1.81783969651992,0.182904112447191
"1104","Variable_62","B vs A","Residuals",57,11.5740120609349,0.203052843174297,NA,NA
"1105","Variable_62","B vs C","unique_group",1,1.43947959433247,1.43947959433247,7.00845088453649,0.0104720750682891
"1106","Variable_62","B vs C","Timepoint_cos",1,1.29324663007327,1.29324663007327,6.29648070326691,0.0149642484050583
"1107","Variable_62","B vs C","Timepoint_sin",1,0.000786600639573333,0.000786600639573333,0.00382975345388705,0.950870903664914
"1108","Variable_62","B vs C","unique_group:Timepoint_cos",1,0.0853035263965214,0.0853035263965214,0.415320632110122,0.521866406937145
"1109","Variable_62","B vs C","unique_group:Timepoint_sin",1,0.00896575334470917,0.00896575334470917,0.0436519157386195,0.835247433448758
"1110","Variable_62","B vs C","Residuals",57,11.7073427821243,0.205391978633759,NA,NA
"1111","Variable_62","A vs C","unique_group",1,0.11911397320613,0.11911397320613,1.45952737376159,0.232082510788799
"1112","Variable_62","A vs C","Timepoint_cos",1,0.241719297700354,0.241719297700354,2.96183497421896,0.0907723134669106
"1113","Variable_62","A vs C","Timepoint_sin",1,0.335746545749469,0.335746545749469,4.11396967943667,0.0472968964111422
"1114","Variable_62","A vs C","unique_group:Timepoint_cos",1,0.129558871514982,0.129558871514982,1.58751080498796,0.212907648053123
"1115","Variable_62","A vs C","unique_group:Timepoint_sin",1,0.253458255696592,0.253458255696592,3.10567477801173,0.0834771040418802
"1116","Variable_62","A vs C","Residuals",56,4.5702345974861,0.081611332097966,NA,NA
"1117","Variable_63","B vs A","unique_group",1,8.44806224204169,8.44806224204169,1.08317307609991,0.302383297370595
"1118","Variable_63","B vs A","Timepoint_cos",1,27.0373578642697,27.0373578642697,3.46661012293601,0.067777611557806
"1119","Variable_63","B vs A","Timepoint_sin",1,3.86183556454066,3.86183556454066,0.495147430024688,0.484504744284966
"1120","Variable_63","B vs A","unique_group:Timepoint_cos",1,0.177153071512759,0.177153071512759,0.0227137812096243,0.880735846254897
"1121","Variable_63","B vs A","unique_group:Timepoint_sin",1,9.40951489242045,9.40951489242045,1.20644627118275,0.276655137691448
"1122","Variable_63","B vs A","Residuals",57,444.563808334504,7.79936505850007,NA,NA
"1123","Variable_63","B vs C","unique_group",1,41.9266963285727,41.9266963285727,6.87928325159845,0.0111665391932637
"1124","Variable_63","B vs C","Timepoint_cos",1,7.10371825814315,7.10371825814315,1.1655697757425,0.284860623633078
"1125","Variable_63","B vs C","Timepoint_sin",1,0.0975517156867322,0.0975517156867322,0.0160061713097841,0.899769112349747
"1126","Variable_63","B vs C","unique_group:Timepoint_cos",1,4.90007301298227,4.90007301298227,0.80399824364044,0.373672140850649
"1127","Variable_63","B vs C","unique_group:Timepoint_sin",1,0.651309388087143,0.651309388087143,0.106866081934132,0.744938114801152
"1128","Variable_63","B vs C","Residuals",57,347.393994886509,6.09463148923701,NA,NA
"1129","Variable_63","A vs C","unique_group",1,12.5354149651283,12.5354149651283,4.80202823258737,0.0326024819878828
"1130","Variable_63","A vs C","Timepoint_cos",1,8.69892036038363,8.69892036038363,3.33235567229295,0.073263732362536
"1131","Variable_63","A vs C","Timepoint_sin",1,7.6864548254625,7.6864548254625,2.94450348736425,0.091698227091351
"1132","Variable_63","A vs C","unique_group:Timepoint_cos",1,6.92716699670031,6.92716699670031,2.6536378398752,0.10892649527568
"1133","Variable_63","A vs C","unique_group:Timepoint_sin",1,4.89861032252673,4.89861032252673,1.8765445846552,0.176195150231919
"1134","Variable_63","A vs C","Residuals",56,146.184737791296,2.61044174627314,NA,NA
