Name	CC10.fastq	CC101.fastq	CC102.fastq	CC103.fastq	CC117.fastq	CC118.fastq	CC122.fastq	CC123.fastq	CC13.fastq	CC14.fastq	CC15.fastq	CC16.fastq	CC17.fastq	CC18.fastq	CC19.fastq	CC20.fastq	CC6.fastq	CC67.fastq	CC68.fastq	CC69.fastq	CC7.fastq	CC70.fastq	CC71.fastq	CC78.fastq	CC79.fastq	CC8.fastq	CC80.fastq	CC81.fastq	CC82.fastq	CC83.fastq	CC9.fastq
Species_4684	8	4	1	1	1	1	1	2	3	2	0	0	0	0	0	1	10	2	3	1	6	0	0	2	0	12	2	0	5	4	5
Species_4685	12	2	5	1	5	4	0	3	5	3	1	3	3	0	2	0	14	4	6	2	6	1	1	3	1	21	5	2	4	8	4
Species_4686	11	4	5	2	4	4	1	2	7	1	4	0	2	3	0	1	20	4	9	4	13	0	2	7	2	22	3	3	5	5	7
Species_4687	7	1	3	0	4	6	0	3	1	3	4	2	0	1	0	1	14	3	3	5	6	0	1	2	0	17	2	2	2	9	2
Species_4688	10	2	3	0	3	1	1	2	8	5	0	3	0	6	2	5	16	5	2	2	10	2	2	3	0	20	2	2	7	7	9
Species_4689	16	2	5	3	2	3	1	7	13	5	1	2	0	0	2	1	32	6	8	5	12	1	0	3	0	26	3	3	5	10	6
Species_4690	5	3	1	1	0	2	1	4	1	0	0	2	1	1	0	0	5	0	0	2	1	0	0	1	0	0	0	0	0	0	0
Species_4691	2	0	0	0	3	1	1	1	2	0	0	2	1	0	1	1	6	0	4	1	1	0	0	0	0	4	1	0	0	3	1
Species_4692	29	3	15	4	13	8	3	7	16	3	2	7	4	5	4	3	34	14	6	5	22	2	2	9	1	24	3	3	7	6	10
Species_4693	5	1	2	1	3	3	2	3	7	2	0	2	1	2	1	0	9	4	1	0	9	1	1	4	0	17	4	2	4	5	4
Species_4694	12	4	4	0	8	3	2	8	10	8	3	6	5	1	4	2	22	7	5	3	17	4	3	3	0	20	3	2	3	5	12
Species_4695	18	4	8	2	5	7	1	9	9	9	1	10	3	4	7	4	18	3	6	3	23	5	1	8	2	29	7	2	3	9	10
Species_4696	2	1	1	0	1	2	0	0	2	4	0	1	0	0	0	0	6	0	4	0	1	0	0	0	0	7	1	0	1	5	3
Species_4697	41	3	19	5	8	9	1	9	22	15	5	10	4	8	12	5	48	14	15	5	37	4	5	12	3	49	9	5	10	18	11
Species_4698	7	2	1	0	1	0	0	1	6	2	0	3	1	3	1	2	16	4	8	0	8	1	0	3	1	8	3	0	1	1	7
Species_4699	25	1	10	5	12	4	6	10	16	7	6	7	2	4	5	3	38	11	10	6	26	3	3	11	2	35	6	6	8	10	7
Species_4700	28	4	13	2	6	5	1	7	16	8	2	8	5	5	2	3	22	3	5	4	20	3	3	3	3	34	4	3	11	6	12
Species_4701	9	0	4	2	3	0	1	0	4	1	3	0	0	1	1	0	12	2	2	4	9	1	1	4	0	16	4	2	7	2	5
Species_4702	4	1	2	0	1	2	0	2	3	2	1	1	0	2	1	1	10	3	1	3	8	1	1	2	1	15	5	1	5	4	4
Species_4703	15	4	3	5	3	5	1	5	9	8	1	2	1	2	4	1	25	6	10	3	10	2	0	3	3	29	6	5	7	9	7
Species_4704	17	2	6	1	1	6	0	3	11	3	4	7	2	1	1	2	18	8	3	4	20	0	6	6	1	23	3	1	9	7	10
Species_4705	8	3	2	1	4	3	0	4	5	4	1	5	1	2	0	2	18	4	5	3	10	1	3	5	0	16	4	3	6	3	7
Species_4706	32	3	15	6	7	12	1	14	21	8	1	9	2	3	1	8	43	18	9	8	16	1	4	5	3	48	11	10	11	9	9
Species_4707	3	2	1	0	2	3	1	2	10	4	1	2	1	5	2	2	22	3	9	2	8	1	0	4	3	16	4	1	2	4	5
Species_4708	6	1	1	0	1	4	2	1	2	2	0	1	0	1	2	0	6	2	3	1	11	0	2	2	1	12	4	0	2	3	1
Species_4709	3	0	1	0	3	1	0	1	2	1	0	0	0	1	1	1	4	0	2	1	1	1	0	0	0	12	2	1	3	5	2
Species_4710	6	4	1	1	1	3	0	1	4	2	0	6	0	0	0	1	7	2	3	2	2	0	0	0	1	8	1	1	2	0	2
Species_4711	9	1	5	0	5	2	2	4	7	2	2	5	4	1	0	2	19	8	5	2	15	2	2	5	1	22	2	4	6	4	4
